nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,producer	tt0203019,tt0120889,tt0116695,tt0119822
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt1024648,tt0094540,tt0118715,tt0198781
nm0000423	Serena Grandi	1958	\N	actress	tt0089598,tt1249306,tt0082479,tt2358891
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0125439,tt0109831,tt0276751,tt0314331
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt0114134,tt0092929,tt0083851,tt0097108
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt0092890,tt0186894,tt0091042,tt0087985
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0228333,tt0119396,tt0101452,tt0116225
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0012532,tt0004972,tt0006864,tt0009968
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0096463,tt0119558,tt0173716,tt1971325
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0089822,tt0091949,tt0087928,tt0091777
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0350258,tt0118971,tt0109642,tt1904996
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0105695,tt0265666,tt0120660,tt0067116
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0095519,tt0093437,tt0091445,tt1121931
nm0000434	Mark Hamill	1951	\N	actor,producer,soundtrack	tt0076759,tt4853102,tt0080684,tt0086190
nm0000435	Daryl Hannah	1960	\N	actress,producer,soundtrack	tt0378194,tt0094291,tt0088161,tt0266697
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0298203,tt0388125,tt0119488,tt0185014
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt1156398,tt0117318,tt0110632,tt2356777
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0112384,tt0274558,tt0120382,tt0800308
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt0096569,tt2267998,tt0460649,tt0120201
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt1282224,tt0115771,tt0118749,tt0090920
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous	tt0088323,tt0077215,tt0076984,tt0092115
nm0000442	Rutger Hauer	1944	\N	actor,producer,director	tt1640459,tt0083658,tt0372784,tt0091209
nm0000443	Goldie Hawn	1945	\N	actress,producer,soundtrack	tt0104070,tt0093693,tt0116313,tt0116242
nm0000444	Glenne Headly	1955	2017	actress	tt2229499,tt0113862,tt0095031,tt0099422
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0112697,tt0114814,tt0166924,tt0086979
nm0000446	Mariel Hemingway	1961	\N	actress,soundtrack,producer	tt0079522,tt0094074,tt0086355,tt0101064
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0098790,tt0102250,tt0087507,tt0077089
nm0000448	Lance Henriksen	1940	\N	actor,miscellaneous	tt0090605,tt0088247,tt0370263,tt0107076
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0228333,tt0114508,tt0190138,tt0315064
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0379725,tt1560747,tt0918927,tt0472062
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0116242,tt0120461,tt0097351,tt0114011
nm0000452	Lauren Holly	1963	\N	actress,producer	tt0364845,tt0207201,tt0109686,tt0065272
nm0000453	Ian Holm	1931	\N	actor,soundtrack,animation_department	tt0120255,tt0120737,tt0088846,tt0167260
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0064276,tt0111257,tt0114898,tt0090756
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0091042,tt0088847,tt0093748,tt0090305
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0317705,tt2975590,tt0190590,tt0107822
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0078748,tt0167190,tt0087803,tt0080678
nm0000458	William Hurt	1950	\N	actor,producer	tt0120738,tt0399146,tt0080360,tt0118929
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt0363988,tt0362269,tt1139328,tt1103987
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt0094964,tt0110357,tt0119558,tt2975590
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0092099,tt0081455,tt0100802,tt0120201
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0073972,tt0068126,tt0085088,tt0059978
nm0000463	Famke Janssen	1964	\N	actress,writer,director	tt0185371,tt0376994,tt0120903,tt0113189
nm0000464	Jim Jarmusch	1953	\N	director,writer,actor	tt1714915,tt0412019,tt0165798,tt0088184
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0122690,tt0144117,tt0124819,tt0184858
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt0211915,tt0344510,tt0101700,tt0112682
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt2203939,tt0086759,tt0115285,tt1853728
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0077716,tt0081738,tt0082398,tt0088395
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0086190,tt0099810,tt3748528,tt0094898
nm0000470	Jeffrey Jones	1946	\N	actor	tt0086879,tt0091042,tt0091225,tt0109707
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0100404,tt0111301,tt0106220,tt0101272
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0026138,tt0023245,tt0021884,tt0060345
nm0000473	Diane Keaton	1946	\N	actress,producer,director	tt0075686,tt0356680,tt0337741,tt0079522
nm0000474	Michael Keaton	1951	\N	actor,producer,soundtrack	tt2562232,tt1895587,tt0094721,tt4276820
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack	tt0184122,tt0097733,tt0068069,tt0112365
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt0131369,tt0092569,tt3216866,tt0102138
nm0000477	Mia Kirshner	1975	\N	actress	tt0387877,tt3520702,tt0330251
nm0000478	Tawny Kitaen	1961	\N	actress,producer	tt0087903,tt0111999,tt0086793,tt0086927
nm0000479	Walter Koenig	1936	\N	actor,writer,producer	tt0084726,tt0088170,tt0092007,tt0102975
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0120863,tt0115964,tt0114194,tt0822854
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt0384537,tt1981115,tt0117731,tt0105428
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0071464,tt0082948,tt0072933,tt0082640
nm0000483	Christopher Lambert	1957	\N	actor,producer,writer	tt0091203,tt0102034,tt0106950,tt0113855
nm0000484	John Landis	1950	\N	producer,director,actor	tt0118747,tt0082010,tt0086491,tt0080455
nm0000485	Fritz Lang	1890	1976	director,writer,producer	tt0023563,tt0027652,tt0017136,tt0022100
nm0000486	Heather Langenkamp	1964	\N	actress,special_effects,make_up_department	tt0087800,tt1408101,tt0111686,tt0093629
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0286716,tt0388795,tt0454876,tt0190332
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0099978,tt0105219,tt0109506,tt0102915
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,producer	tt0070917,tt0120737,tt0121765,tt0167261
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0102175,tt0097216,tt0104797
nm0000491	John Leguizamo	1964	\N	actor,writer,producer	tt0119887,tt0117509,tt0120177,tt0203009
nm0000492	Jennifer Jason Leigh	1962	\N	actress,producer,soundtrack	tt0361862,tt0120907,tt0257044,tt3460252
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0107050,tt0053291,tt0104348,tt0053604
nm0000494	Robert Sean Leonard	1969	\N	actor,soundtrack	tt0412142,tt0097165,tt0108265,tt0275719
nm0000495	Téa Leoni	1966	\N	actress,producer	tt0218967,tt0120647,tt0163025,tt0369441
nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt0110632,tt0101540,tt1322269,tt0116367
nm0000497	Jennifer Lien	1974	\N	actress,producer,miscellaneous	tt0057731,tt0112178,tt0120586,tt0133189
nm0000498	Matthew Lillard	1970	\N	actor,producer,soundtrack	tt0267913,tt0133189,tt1033575,tt0331632
nm0000499	Bai Ling	1966	\N	actress,producer,writer	tt0109506,tt0346156,tt0420251,tt0166485
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt0112471,tt1065073,tt0381681,tt2209418
nm0000501	Ray Liotta	1954	\N	actor,producer,soundtrack	tt0212985,tt0309698,tt0475394,tt0099685
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack	tt0099088,tt0088763,tt0096438,tt0096874
nm0000503	Emily Lloyd	1970	\N	actress	tt0094331,tt0114917,tt0105265,tt0097570
nm0000504	Amy Locane	1971	\N	actress,soundtrack	tt0109306,tt0109068,tt0099329,tt0274812
nm0000505	Nia Long	1970	\N	actress,soundtrack	tt0208003,tt0181984,tt0113118,tt0044265
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,soundtrack	tt0462128,tt1759761,tt0098904,tt0120623
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0090060,tt0105793,tt1058017,tt0086066
nm0000508	Carey Lowell	1961	\N	actress	tt0098844,tt0113627,tt0108160,tt0097742
