"Customers Created: ","293"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"272","673","3","676","3","1"
"275","678","1","679","1","1"
"280","690","2","692","2","1"
"281","692","3","696","4","1"
"283","696","1","698","2","1"
"284","700","1","701","1","1"
"286","703","3","706","3","1"
"287","707","1","708","1","1"
"288","712","4","716","4","1"
"289","713","1","718","5","1"

